description,name,PONAME,ZIP,latitude,POP2001,STATE,AREA,zip2,longitude,SUMBLKPOP,geometry
,Zip:,COUPEVILLE,98239,48.1925,5873,WA,30.82996,98239,-122.661,5825,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.600335,48.120367 -122.573391,48.154459 -122.729555,48.231991 -122.759797,48.245188</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,CUSTER,98240,48.95,2976,WA,24.21468,98240,-122.617,3016,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.551946,48.983663 -122.691064,48.922627 -122.551946,48.935274</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,DARRINGTON,98241,48.1601,1940,WA,568.88198,98241,-121.293,1906,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.001313,48.295776 -121.636413,48.298525 -121.667755,48.124766 -121.453306,48.124766 -121.451657,47.968603 -121.147029,47.98125 -120.906186,48.163807</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,DEMING,98244,48.7962,2229,WA,213.87553,98244,-122.1,2399,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.121398,48.646043 -121.961936,48.644943 -121.954238,48.934175 -122.077959,48.924277 -122.185733,48.918228 -122.225324,48.897333 -122.276462,48.839597 -122.262165,48.709278</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,EASTSOUND,98245,48.6533,3307,WA,41.52662,98245,-122.944,3576,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-123.031433,48.627347 -122.868122,48.647143 -122.884618,48.712027</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,EVERSON,98247,48.903,8287,WA,64.79762,98247,-122.311,7945,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.276462,48.839597 -122.225324,48.897333 -122.330899,48.982013 -122.442522,48.86984</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,FERNDALE,98248,48.8668,18837,WA,70.13201,98248,-122.615,18520,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.66357,48.793408 -122.507957,48.887986 -122.551946,48.935274 -122.691064,48.922627 -122.737253,48.857743</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,FREELAND,98249,48.0234,3825,WA,17.45131,98249,-122.542,3722,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.548647,48.053283 -122.605834,48.06483 -122.485412,47.996096 -122.520054,48.086275</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,FRIDAY HARBOR,98250,48.5471,7089,WA,61.03368,98250,-123.092,6846,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-123.152954,48.622948 -123.151855,48.514074 -122.962699,48.450289</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,GOLD BAR,98251,47.813,4497,WA,26.80057,98251,-121.615,4262,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.584725,47.776698 -121.506644,47.777798 -121.718893,47.875675 -121.666656,47.773949</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,GRANITE FALLS,98252,48.0482,7023,WA,257.8375,98252,-121.698,6716,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.453306,48.124766 -121.667755,48.124766 -122.046616,48.093973 -122.024071,48.053283 -121.854161,47.972452 -121.794226,47.961455 -121.451657,47.968603</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,GREENBANK,98253,48.0878,1579,WA,11.07899,98253,-122.577,1428,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.573391,48.154459 -122.600335,48.120367 -122.605834,48.06483 -122.548647,48.053283</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,LA CONNER,98257,48.416,2828,WA,16.96326,98257,-122.517,3609,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.554696,48.44479 -122.49476,48.377156 -122.515655,48.455788</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,LAKE STEVENS,98258,48.042,18076,WA,24.69073,98258,-122.063,18006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.046616,48.093973 -122.098304,48.06538 -122.055964,47.978501 -122.024071,48.053283</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,LANGLEY,98260,48.0287,5420,WA,27.40521,98260,-122.447,5225,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.520054,48.086275 -122.485412,47.996096 -122.481013,47.996096 -122.370489,47.997196</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,LOPEZ ISLAND,98261,48.5029,2506,WA,37.49914,98261,-122.899,2396,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.801038,48.448639 -122.884618,48.57236 -122.872521,48.417847</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,LUMMI ISLAND,98262,48.6938,816,WA,9.08913,98262,-122.666,807,
,Zip:,LYNDEN,98264,48.9501,16994,WA,60.12472,98264,-122.446,16207,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.507957,48.887986 -122.442522,48.86984 -122.330899,48.982013 -122.292408,49.002359 -122.550847,49.002359 -122.551946,48.983663 -122.551946,48.935274</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,MAPLE FALLS,98266,48.9477,0,WA,23.0426,98266,-122.128,2679,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.077959,48.924277 -122.07191,49.001259 -122.185733,48.918228</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,MARBLEMOUNT,98267,48.5721,376,WA,323.78185,98267,-121.102,370,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.062898,48.459637 -120.701634,48.53167 -120.752222,48.65759 -121.514892,48.642194 -121.449457,48.527271 -121.419214,48.518473</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,MARYSVILLE,98270,48.0608,35968,WA,13.81204,98270,-122.148,34613,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.149992,48.015892 -122.111501,48.071979 -122.11205,48.091774 -122.183534,48.036787</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,MARYSVILLE,98271,48.0924,23362,WA,44.41589,98271,-122.238,22264,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.183534,48.036787 -122.11205,48.091774 -122.265464,48.139063 -122.363341,48.123116</coordinates></LinearRing></outerBoundaryIs></Polygon>"
